"rules","support","confidence","lift","count","lift2"
"{(绠<a1>4) Rivotril_MEDICINE} => {200 (DC)Dogmatyl_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{200 (DC)Dogmatyl_MEDICINE} => {(绠<a1>4) Rivotril_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{(绠<a1>4) Rivotril_MEDICINE} => {SOLAXIN_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{SOLAXIN_MEDICINE} => {(绠<a1>4) Rivotril_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{200 (DC)Dogmatyl_MEDICINE} => {SOLAXIN_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{SOLAXIN_MEDICINE} => {200 (DC)Dogmatyl_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{(绠<a1>4) Rivotril_MEDICINE,200 (DC)Dogmatyl_MEDICINE} => {SOLAXIN_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{(绠<a1>4) Rivotril_MEDICINE,SOLAXIN_MEDICINE} => {200 (DC)Dogmatyl_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{200 (DC)Dogmatyl_MEDICINE,SOLAXIN_MEDICINE} => {(绠<a1>4) Rivotril_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{(绠<a1>4) Rivotril_MEDICINE,Nicotinell TTS&Chewing Gum_SMOKE} => {200 (DC)Dogmatyl_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{200 (DC)Dogmatyl_MEDICINE,Nicotinell TTS&Chewing Gum_SMOKE} => {(绠<a1>4) Rivotril_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{(绠<a1>4) Rivotril_MEDICINE,Nicotinell TTS&Chewing Gum_SMOKE} => {SOLAXIN_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{Nicotinell TTS&Chewing Gum_SMOKE,SOLAXIN_MEDICINE} => {(绠<a1>4) Rivotril_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{200 (DC)Dogmatyl_MEDICINE,Nicotinell TTS&Chewing Gum_SMOKE} => {SOLAXIN_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{Nicotinell TTS&Chewing Gum_SMOKE,SOLAXIN_MEDICINE} => {200 (DC)Dogmatyl_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{(绠<a1>4) Rivotril_MEDICINE,200 (DC)Dogmatyl_MEDICINE,Nicotinell TTS&Chewing Gum_SMOKE} => {SOLAXIN_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{(绠<a1>4) Rivotril_MEDICINE,Nicotinell TTS&Chewing Gum_SMOKE,SOLAXIN_MEDICINE} => {200 (DC)Dogmatyl_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{200 (DC)Dogmatyl_MEDICINE,Nicotinell TTS&Chewing Gum_SMOKE,SOLAXIN_MEDICINE} => {(绠<a1>4) Rivotril_MEDICINE}",0.181818181818182,1,5.5,2,5.5
"{Inderal_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{(绠<a1>4) Rivotril_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{200 (DC)Dogmatyl_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{SOLAXIN_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{Bokey EM cap_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{(绠<a1>4) Rivotril_MEDICINE,200 (DC)Dogmatyl_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{(绠<a1>4) Rivotril_MEDICINE,SOLAXIN_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{200 (DC)Dogmatyl_MEDICINE,SOLAXIN_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{(绠<a1>4) Rivotril_MEDICINE,200 (DC)Dogmatyl_MEDICINE,SOLAXIN_MEDICINE} => {Nicotinell TTS&Chewing Gum_SMOKE}",0.181818181818182,1,2.75,2,2.75
"{Champix tablet_SMOKE,PARAMOL_MEDICINE} => {Amoxicillin_MEDICINE}",0.272727272727273,0.6,2.2,3,2.19
"{Amoxicillin_MEDICINE} => {Champix tablet_SMOKE}",0.272727272727273,1,1.83333333333333,3,1.83
"{Amoxicillin_MEDICINE} => {PARAMOL_MEDICINE}",0.272727272727273,1,1.83333333333333,3,1.83
"{Amoxicillin_MEDICINE,Champix tablet_SMOKE} => {PARAMOL_MEDICINE}",0.272727272727273,1,1.83333333333333,3,1.83
"{Amoxicillin_MEDICINE,PARAMOL_MEDICINE} => {Champix tablet_SMOKE}",0.272727272727273,1,1.83333333333333,3,1.83
"{Naposin_MEDICINE} => {Champix tablet_SMOKE}",0.181818181818182,1,1.83333333333333,2,1.83
"{Naposin_MEDICINE} => {PARAMOL_MEDICINE}",0.181818181818182,1,1.83333333333333,2,1.83
